"ID","SSN","Phase","PhaseAbbr","Period","archInterp_1","funcInterp_1","archInterp_2","funcInterp_2","xxx","Occu_1","Occu_2","Occu"
121,31,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","cultivated field","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
122,31,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","cultivated field","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
123,31,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
124,31,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
125,32,"Patlachique-Tzacualli","PMic","EC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
126,32,"Miccaotli-Tlamimilolpa","McTl","MC","other",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
127,32,"Xolalpan-Metepec","XlMe","LC","other",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
128,32,"Oxtoticpac","Oxto","ET",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
129,33,"Patlachique-Tzacualli","PMic","EC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
130,33,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
131,33,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
132,33,"Oxtoticpac","Oxto","ET",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
133,34,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","cultivated field","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
134,34,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
135,34,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
136,34,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
137,35,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
138,35,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
139,35,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
140,35,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
141,36,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","cultivated field","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
142,36,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
143,36,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
144,36,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
145,37,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","cultivated field","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
146,37,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","cultivated field","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
147,37,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures","cultivated field","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
148,37,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
149,38,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
