"SSN","Occu_EC","Occu_MC","Occu_LC","Occu_ET"
186,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
187,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
188,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
189,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
190,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
191,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
192,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
193,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
194,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
195,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
